Ticket_Number,Table_Number
1,42
2,42
3,42
4,42
5,42
6,42
7,42
8,42
9,71
10,56
11,56
12,56
13,56
14,56
15,56
16,56
17,56
18,58
19,58
20,58
21,58
22,58
23,58
24,58
25,58
26,64
27,64
28,64
29,64
30,64
31,64
32,64
33,64
34,71
35,71
36,40
37,40
38,40
39,40
40,40
41,40
42,40
43,40
44,52
45,52
46,52
47,52
48,52
49,52
50,52
51,52
52,71
53,71
54,78
55,44
56,44
57,44
58,44
59,44
60,44
61,44
62,44
63,46
64,46
65,46
66,46
67,46
68,46
69,46
70,46
71,71
72,10
73,10
74,10
75,10
76,10
77,10
78,10
79,10
80,70
81,70
82,70
83,70
84,70
85,70
86,70
87,70
88,66
89,66
90,66
91,66
92,66
93,66
94,66
95,66
96,71
97,71
98,5
99,5
100,5
101,5
102,5
103,5
104,5
105,5
106,18
107,18
108,18
109,18
110,18
111,18
112,18
113,18
114,74
115,74
116,74
117,74
118,68
119,68
120,68
121,68
122,68
123,68
124,68
125,68
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,52
135,22
136,22
137,22
138,22
139,22
140,22
141,22
142,22
143,53
144,53
145,53
146,53
147,53
148,53
149,53
150,53
151,74
152,74
153,11
154,11
155,11
156,11
157,11
158,11
159,11
160,11
161,13
162,13
163,13
164,13
165,13
166,13
167,13
168,13
169,72
170,72
171,72
172,72
173,72
174,72
175,72
176,72
177,74
178,74
179,57
180,57
181,57
182,57
183,57
184,57
185,57
186,57
187,76
188,8
189,8
190,8
191,8
192,8
193,8
194,8
195,8
196,8
197,8
198,76
199,76
200,76
201,48
202,48
203,48
204,48
205,48
206,48
207,48
208,48
209,62
210,62
211,62
212,62
213,62
214,62
215,62
216,62
217,49
218,49
219,49
220,49
221,49
222,49
223,49
224,49
225,51
226,51
227,51
228,51
229,51
230,51
231,51
232,51
233,69
234,69
235,69
236,69
237,69
238,69
239,69
240,69
241,28
242,28
243,28
244,28
245,28
246,28
247,28
248,28
249,76
250,76
251,35
252,35
253,76
254,54
255,54
256,54
257,54
258,54
259,54
260,54
261,54
262,36
263,36
264,36
265,36
266,36
267,36
268,36
269,36
270,76
271,35
272,78
273,39
274,39
275,39
276,39
277,39
278,39
279,39
280,39
281,78
282,45
283,45
284,45
285,45
286,45
287,45
288,45
289,45
290,47
291,47
292,47
293,47
294,47
295,47
296,47
297,47
298,35
299,35
300,35
301,37
302,37
303,37
304,15
305,15
306,15
307,15
308,15
309,15
310,15
311,15
312,43
313,43
314,43
315,43
316,43
317,43
318,43
319,43
320,16
321,16
322,16
323,16
324,16
325,16
326,16
327,16
328,6
329,6
330,6
331,6
332,6
333,6
334,6
335,6
336,21
337,21
338,21
339,21
340,21
341,21
342,21
343,21
344,23
345,23
346,23
347,23
348,23
349,23
350,23
351,23
352,35
353,37
354,37
355,37
356,37
357,37
358,35
359,30
360,30
361,30
362,30
363,30
364,30
365,30
366,30
367,12
368,12
369,12
370,12
371,12
372,12
373,12
374,12
375,27
376,27
377,27
378,27
379,27
380,27
381,9
382,9
383,9
384,9
385,9
386,9
387,9
388,9
389,27
390,78
391,36
392,36
393,38
394,38
395,38
396,38
397,38
398,38
399,38
400,38
401,25
402,41
403,41
404,41
405,41
406,41
407,41
408,41
409,41
410,32
411,32
412,32
413,32
414,32
415,32
416,32
417,32
418,16
419,29
420,29
421,29
422,29
423,29
424,29
425,29
426,29
427,24
428,24
429,24
430,24
431,24
432,24
433,24
434,24
435,7
436,7
437,7
438,7
439,7
440,7
441,7
442,7
443,25
444,25
445,3
446,3
447,3
448,3
449,3
450,3
451,3
452,3
453,3
454,3
455,27
456,25
457,25
458,33
459,33
460,33
461,33
462,33
463,33
464,33
465,33
466,78
467,78
468,78
469,60
470,60
471,60
472,60
473,60
474,60
475,60
476,60
477,34
478,34
479,34
480,34
481,34
482,34
483,34
484,34
485,45
486,47
487,53
488,26
489,26
490,26
491,26
492,26
493,26
494,26
495,26
497,17
498,17
499,17
500,17
501,17
502,17
503,17
504,17
505,19
506,19
507,19
508,19
509,19
510,19
511,19
512,19
513,59
514,59
515,59
516,59
517,59
518,59
519,59
520,59
521,50
522,50
523,50
524,50
525,50
526,50
527,50
528,50
529,52
530,24
531,25
532,55
533,55
534,55
535,55
536,20
537,20
538,20
539,20
540,20
541,20
542,20
543,20
544,55
545,55
546,55
547,25
548,25
549,55
550,31
551,31
552,31
553,31
554,31
555,31
556,31
557,31
558,78
559,14
560,14
561,14
562,14
563,14
564,14
565,14
566,14
567,19
568,19
569,34
570,30
